,resnet50,resnet101,densenet121
error,23.87,22.626,25.566
total_time,127.67207741737366,177.6990029811859,137.49263453483582
pred_time_mean,0.007042163896560669,0.012321176433563232,0.017075830602645874
pred_time_std,0.004068939944622408,0.0013088964282233428,0.001675210472609702
