,resnet50,resnet101,densenet121
error,23.87,22.626,25.566
total_time,121.05300855636597,166.36940360069275,126.96829605102539
pred_time_mean,0.006789597797393799,0.012051229429244996,0.01632407555580139
pred_time_std,0.003036433694287896,0.0013216829106992953,0.0018766781726910567
